// 開始地点,x座標,ｙ座標,,,
0,300,2100,,,
// チェックポイント,x座標,ｙ座標,プライオリティ,,
//1,3600,2000,1,,
//1,2000,300,2,,
// ゴール地点,x座標,ｙ座標,,,
2,4500,2240,,,
// 動く死亡ギミック,x座標,ｙ座標,目標ｘ座標,目標ｙ座標,移動速度(割合)
//3,1000,300,1400,300,0.01
// 消えるギミック,x座標,ｙ座標,表示フレーム,非表示フレーム,
//4,1500,300,360,120,
// 動く床,x座標,ｙ座標,目標ｘ座標,目標ｙ座標,移動速度(割合)
//5,5500,1700,5800,1700,0.01
//チュートリアルテキスト 座標x　y　プライオリティ　メッセージタイプ
//6,1000,2000,3,2,
//6,2300,2000,3,4,
//6,3800,2500,3,3,
// レンズ,x座標,y座標,方向（テンキー）,目標ｘ座標,目標ｙ座標,移動速度(割合)
7,500,400,6,500,400,0.01
7,1300,400,1,1300,400,0.01
7,900,2200,6,900,2200,0.01
7,3000,1900,8,3000,1900,0.01
7,3000,1300,1,3000,1300,0.01
7,1900,1300,8,1900,1300,0.01
7,1900,800,9,1900,800,0.01
7,2700,800,2,2700,800,0.01
7,2700,2350,6,2700,2350,0.01
7,3600,2200,8,3600,2200,0.01
7,3600,400,6,3600,400,0.01
7,4100,400,1,4100,400,0.01
