// 開始地点,x座標,ｙ座標,,,
0,100,1800,,,
// チェックポイント,x座標,ｙ座標,プライオリティ,,
1,3600,2000,1,,
//1,2000,300,2,,
// ゴール地点,x座標,ｙ座標,,,
2,6400,1300,,,
// 動く死亡ギミック,x座標,ｙ座標,目標ｘ座標,目標ｙ座標,移動速度(割合)
//3,1000,300,1400,300,0.01
// 消えるギミック,x座標,ｙ座標,表示フレーム,非表示フレーム,
//4,1500,300,360,120,
// 動く床,x座標,ｙ座標,目標ｘ座標,目標ｙ座標,移動速度(割合)
5,5500,1700,5800,1700,0.01
//チュートリアルテキスト 座標x　y　プライオリティ　メッセージタイプ
6,1000,2000,3,2,
6,2300,2000,3,4,
6,3300,800,3,3,
//6,3800,2500,3,5,
// レンズ,x座標,y座標,方向（テンキー）,目標ｘ座標,目標ｙ座標,移動速度(割合)
//7,500,1800,2,1000,1800,0.01
