// 開始地点,x座標,ｙ座標,,,
0,100,1800,,,
//0,6900,2580,,,
//0,9400,2700,,,
//0,15300,2700,,,
//0,20550,1800,,,
//0,20550,3350,,,
// チェックポイント,x座標,ｙ座標,プライオリティ,,
1,15300,2700,1,,
1,20550,3350,2,,
1,20550,1800,2,,
// ゴール地点,x座標,ｙ座標,,,
2,25250,3200,,,

// 消える床,x座標,ｙ座標,現れる時間,消える時間
4,7200,3150,180,180
4,7460,3150,200,180
4,7720,3150,220,180
4,7980,3050,240,180
4,8240,3050,260,180
4,8600,2900,280,180
// 動く床,x座標,ｙ座標,目標ｘ座標,目標ｙ座標,移動速度(割合)
5,21300,3600,21300,3200,0.007

// レンズ,x座標,y座標,方向（テンキー）,目標ｘ座標,目標ｙ座標,移動速度(割合)
7,9400,3800,6,9400,3800,0.01
7,10500,900,1,10500,900,0.01
7,10300,2700,6,10300,2700,0.01
7,11500,2700,9,11500,2700,0.01
7,12500,1700,7,12500,1700,0.01
7,11000,800,1,11000,800,0.01
7,14500,3600,8,14500,3600,0.01
// 下ルート分岐
7,23500,3400,9,23500,3000,0.01
7,25200,2200,2,25200,2200,0.01
7,25200,300,2,25200,300,0.01
